,conf,doi,fig_num,fig_page,mention_page,mention_heading,mention_heading_txt,path,total_pages
30,iwpc-icpc2024,10.1145/3643916.3644420,3,3,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644420-Figure3-1.png,12
31,iwpc-icpc2024,10.1145/3643916.3644431,1,1,8.0,6 CASE STUDY,CASE STUDY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644431-Figure1-1.png,12
32,iwpc-icpc2024,10.1145/3643916.3644431,2,2,2.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644431-Figure2-1.png,12
33,iwpc-icpc2024,10.1145/3643916.3644431,4,7,7.0,5 EXPERIMENT RESULTS,EXPERIMENT RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644431-Figure4-1.png,12
34,iwpc-icpc2024,10.1145/3643916.3644431,3,7,7.0,5 EXPERIMENT RESULTS,EXPERIMENT RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644431-Figure3-1.png,12
35,iwpc-icpc2024,10.1145/3643916.3644410,2,5,4.0,4 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure2-1.png,10
36,iwpc-icpc2024,10.1145/3643916.3644410,4,6,6.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure4-1.png,10
37,iwpc-icpc2024,10.1145/3643916.3644410,5,6,6.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure5-1.png,10
38,iwpc-icpc2024,10.1145/3643916.3644410,3,6,4.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure3-1.png,10
39,iwpc-icpc2024,10.1145/3643916.3644410,1,2,2.0,4 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure1-1.png,10
40,iwpc-icpc2024,10.1145/3643916.3644410,8,7,7.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure8-1.png,10
41,iwpc-icpc2024,10.1145/3643916.3644410,6,7,6.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure6-1.png,10
42,iwpc-icpc2024,10.1145/3643916.3644410,7,7,7.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure7-1.png,10
43,iwpc-icpc2024,10.1145/3643916.3644410,9,7,7.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure9-1.png,10
44,iwpc-icpc2024,10.1145/3643916.3644410,10,7,7.0,5 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644410-Figure10-1.png,10
45,iwpc-icpc2024,10.1145/3643916.3644421,3,5,4.0,5 RQ2: INTRA-PROJECT SIMILARITY FOR TEST CODE COMPLETION,RQ2: INTRA-PROJECT SIMILARITY FOR TEST CODE COMPLETION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644421-Figure3-1.png,12
46,iwpc-icpc2024,10.1145/3643916.3644421,2,2,2.0,2 MOTIVATION,MOTIVATION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644421-Figure2-1.png,12
47,iwpc-icpc2024,10.1145/3643916.3644415,2,7,6.0,5 EXPLORATORY CASE STUDY,EXPLORATORY CASE STUDY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644415-Figure2-1.png,12
48,iwpc-icpc2024,10.1145/3643916.3644415,3,8,7.0,5 EXPLORATORY CASE STUDY,EXPLORATORY CASE STUDY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644415-Figure3-1.png,12
49,iwpc-icpc2024,10.1145/3643916.3644404,2,5,3.0,3 TAXONOMY OF CONTENT PURPOSES AND TYPES,TAXONOMY OF CONTENT PURPOSES AND TYPES,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644404-Figure2-1.png,12
50,iwpc-icpc2024,10.1145/3643916.3644404,1,2,1.0,2 A NOMENCLATURE FOR RULE DOCUMENTATION,A NOMENCLATURE FOR RULE DOCUMENTATION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644404-Figure1-1.png,12
51,iwpc-icpc2024,10.1145/3643916.3644404,3,7,7.0,4 QUESTIONNAIRE SURVEY,QUESTIONNAIRE SURVEY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644404-Figure3-1.png,12
52,iwpc-icpc2024,10.1145/3643916.3646556,5,5,5.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3646556-Figure5-1.png,12
53,iwpc-icpc2024,10.1145/3643916.3646556,1,1,2.0,2 MOTIVATION & BACKGROUND,MOTIVATION & BACKGROUND,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3646556-Figure1-1.png,12
54,iwpc-icpc2024,10.1145/3643916.3646556,2,3,3.0,2 MOTIVATION & BACKGROUND,MOTIVATION & BACKGROUND,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3646556-Figure2-1.png,12
55,iwpc-icpc2024,10.1145/3643916.3646556,4,4,3.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3646556-Figure4-1.png,12
56,iwpc-icpc2024,10.1145/3643916.3646556,3,4,3.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3646556-Figure3-1.png,12
57,iwpc-icpc2024,10.1145/3643916.3644419,1,2,2.0,2 MASK APPS: DEFINITION AND DISCOVERY,MASK APPS: DEFINITION AND DISCOVERY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644419-Figure1-1.png,12
58,iwpc-icpc2024,10.1145/3643916.3644419,2,3,2.0,2 MASK APPS: DEFINITION AND DISCOVERY,MASK APPS: DEFINITION AND DISCOVERY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644419-Figure2-1.png,12
59,iwpc-icpc2024,10.1145/3643916.3644419,3,4,4.0,3 MASK-CATCHER: MASK APP DETECTION,MASK-CATCHER: MASK APP DETECTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644419-Figure3-1.png,12
60,iwpc-icpc2024,10.1145/3643916.3644426,1,2,2.0,2 USER TRANSPARENT UPGRADE WAYS,USER TRANSPARENT UPGRADE WAYS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644426-Figure1-1.png,13
61,iwpc-icpc2024,10.1145/3643916.3644426,2,3,3.0,2 USER TRANSPARENT UPGRADE WAYS,USER TRANSPARENT UPGRADE WAYS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644426-Figure2-1.png,13
62,iwpc-icpc2024,10.1145/3643916.3644426,3,3,3.0,3 RESEARCH QUESTIONS,RESEARCH QUESTIONS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644426-Figure3-1.png,13
63,iwpc-icpc2024,10.1145/3643916.3644426,4,4,3.0,3 RESEARCH QUESTIONS,RESEARCH QUESTIONS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644426-Figure4-1.png,13
64,iwpc-icpc2024,10.1145/3643916.3644426,5,4,4.0,3 RESEARCH QUESTIONS,RESEARCH QUESTIONS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644426-Figure5-1.png,13
65,iwpc-icpc2024,10.1145/3643916.3644416,1,1,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644416-Figure1-1.png,13
66,iwpc-icpc2024,10.1145/3643916.3644416,3,7,7.0,5 EXPERIMENTAL RESULTS,EXPERIMENTAL RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644416-Figure3-1.png,13
67,iwpc-icpc2024,10.1145/3643916.3644408,1,6,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644408-Figure1-1.png,12
68,iwpc-icpc2024,10.1145/3643916.3644408,2,2,2.0,2 BACKGROUND,BACKGROUND,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644408-Figure2-1.png,12
69,iwpc-icpc2024,10.1145/3643916.3644408,3,2,2.0,3 DESIGN OF LOGPROMPT,DESIGN OF LOGPROMPT,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644408-Figure3-1.png,12
70,iwpc-icpc2024,10.1145/3643916.3644408,4,3,3.0,3 DESIGN OF LOGPROMPT,DESIGN OF LOGPROMPT,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644408-Figure4-1.png,12
71,iwpc-icpc2024,10.1145/3643916.3644408,6,8,8.0,4 EXPERIMENTS AND EVALUATIONS,EXPERIMENTS AND EVALUATIONS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644408-Figure6-1.png,12
72,iwpc-icpc2024,10.1145/3643916.3644408,5,4,4.0,3 DESIGN OF LOGPROMPT,DESIGN OF LOGPROMPT,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644408-Figure5-1.png,12
73,iwpc-icpc2024,10.1145/3643916.3644407,6,9,9.0,,,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644407-Figure6-1.png,12
74,iwpc-icpc2024,10.1145/3643916.3644407,1,3,2.0,3 OVERVIEW,OVERVIEW,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644407-Figure1-1.png,12
75,iwpc-icpc2024,10.1145/3643916.3644407,4,8,6.0,5 EVALUATION,EVALUATION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644407-Figure4-1.png,12
76,iwpc-icpc2024,10.1145/3643916.3644407,5,8,7.0,5 EVALUATION,EVALUATION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644407-Figure5-1.png,12
77,iwpc-icpc2024,10.1145/3643916.3644407,2,4,3.0,3 OVERVIEW,OVERVIEW,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644407-Figure2-1.png,12
78,iwpc-icpc2024,10.1145/3643916.3644422,1,1,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644422-Figure1-1.png,12
79,iwpc-icpc2024,10.1145/3643916.3644422,3,7,7.0,,,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644422-Figure3-1.png,12
80,iwpc-icpc2024,10.1145/3643916.3644411,2,5,4.0,3 RESULTS DISCUSSION,RESULTS DISCUSSION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644411-Figure2-1.png,13
81,iwpc-icpc2024,10.1145/3643916.3644411,3,5,4.0,3 RESULTS DISCUSSION,RESULTS DISCUSSION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644411-Figure3-1.png,13
82,iwpc-icpc2024,10.1145/3643916.3644411,5,9,7.0,3 RESULTS DISCUSSION,RESULTS DISCUSSION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644411-Figure5-1.png,13
83,iwpc-icpc2024,10.1145/3643916.3644411,4,7,7.0,3 RESULTS DISCUSSION,RESULTS DISCUSSION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644411-Figure4-1.png,13
84,iwpc-icpc2024,10.1145/3643916.3644411,1,4,4.0,2 STUDY DESIGN,STUDY DESIGN,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644411-Figure1-1.png,13
85,iwpc-icpc2024,10.1145/3643916.3644427,1,0,,,,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure1-1.png,12
86,iwpc-icpc2024,10.1145/3643916.3644427,5,5,5.0,3 COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure5-1.png,12
87,iwpc-icpc2024,10.1145/3643916.3644427,6,5,5.0,4 CASE STUDY WITH PRACTITIONERS,CASE STUDY WITH PRACTITIONERS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure6-1.png,12
88,iwpc-icpc2024,10.1145/3643916.3644427,7,6,6.0,4 CASE STUDY WITH PRACTITIONERS,CASE STUDY WITH PRACTITIONERS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure7-1.png,12
89,iwpc-icpc2024,10.1145/3643916.3644427,2,2,2.0,3 COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure2-1.png,12
90,iwpc-icpc2024,10.1145/3643916.3644427,3,2,3.0,3 COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure3-1.png,12
91,iwpc-icpc2024,10.1145/3643916.3644427,4,4,4.0,3 COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,COLLABORATIVE SOFTWARE EXPLORATION AND NOTE TAKING IN VR,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644427-Figure4-1.png,12
92,iwpc-icpc2024,10.1145/3643916.3644414,4,5,4.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644414-Figure4-1.png,13
93,iwpc-icpc2024,10.1145/3643916.3644414,1,2,3.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644414-Figure1-1.png,13
94,iwpc-icpc2024,10.1145/3643916.3644414,2,3,3.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644414-Figure2-1.png,13
95,iwpc-icpc2024,10.1145/3643916.3644414,5,8,8.0,5 HUMAN EVALUATION,HUMAN EVALUATION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644414-Figure5-1.png,13
96,iwpc-icpc2024,10.1145/3643916.3644414,3,4,4.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644414-Figure3-1.png,13
97,iwpc-icpc2024,10.1145/3643916.3644409,4,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure4-1.png,11
98,iwpc-icpc2024,10.1145/3643916.3644409,5,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure5-1.png,11
99,iwpc-icpc2024,10.1145/3643916.3644409,3,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure3-1.png,11
100,iwpc-icpc2024,10.1145/3643916.3644409,6,6,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure6-1.png,11
101,iwpc-icpc2024,10.1145/3643916.3644409,7,6,6.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure7-1.png,11
102,iwpc-icpc2024,10.1145/3643916.3644409,8,7,6.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure8-1.png,11
103,iwpc-icpc2024,10.1145/3643916.3644409,9,7,7.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure9-1.png,11
104,iwpc-icpc2024,10.1145/3643916.3644409,10,8,7.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure10-1.png,11
105,iwpc-icpc2024,10.1145/3643916.3644409,1,4,4.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure1-1.png,11
106,iwpc-icpc2024,10.1145/3643916.3644409,2,4,4.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644409-Figure2-1.png,11
107,iwpc-icpc2024,10.1145/3643916.3644424,4,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure4-1.png,12
108,iwpc-icpc2024,10.1145/3643916.3644424,5,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure5-1.png,12
109,iwpc-icpc2024,10.1145/3643916.3644424,6,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure6-1.png,12
110,iwpc-icpc2024,10.1145/3643916.3644424,7,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure7-1.png,12
111,iwpc-icpc2024,10.1145/3643916.3644424,1,1,1.0,2 BACKGROUND,BACKGROUND,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure1-1.png,12
112,iwpc-icpc2024,10.1145/3643916.3644424,8,7,7.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure8-1.png,12
113,iwpc-icpc2024,10.1145/3643916.3644424,2,3,2.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644424-Figure2-1.png,12
114,iwpc-icpc2024,10.1145/3643916.3644406,4,5,4.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure4-1.png,12
115,iwpc-icpc2024,10.1145/3643916.3644406,9,10,10.0,4 EXPERIMENTS,EXPERIMENTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure9-1.png,12
116,iwpc-icpc2024,10.1145/3643916.3644406,1,1,1.0,2 BACKGROUND,BACKGROUND,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure1-1.png,12
117,iwpc-icpc2024,10.1145/3643916.3644406,8,9,9.0,4 EXPERIMENTS,EXPERIMENTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure8-1.png,12
118,iwpc-icpc2024,10.1145/3643916.3644406,5,7,6.0,4 EXPERIMENTS,EXPERIMENTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure5-1.png,12
119,iwpc-icpc2024,10.1145/3643916.3644406,2,3,2.0,2 BACKGROUND,BACKGROUND,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure2-1.png,12
120,iwpc-icpc2024,10.1145/3643916.3644406,3,3,2.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure3-1.png,12
121,iwpc-icpc2024,10.1145/3643916.3644406,6,8,7.0,4 EXPERIMENTS,EXPERIMENTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure6-1.png,12
122,iwpc-icpc2024,10.1145/3643916.3644406,7,8,8.0,4 EXPERIMENTS,EXPERIMENTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644406-Figure7-1.png,12
