,conf,doi,fig_num,status,type,category,subcategory,subsubcategory,dimensionality,multiplicity,n_panels
53,icsm-icsme2024,10.1109/ICSME58944.2024.00034,4,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,4
54,icsm-icsme2024,10.1109/ICSME58944.2024.00025,3,SUCCESS,D,Diagram,Venn Diagram,Venn Diagram,2.0,Single,1
55,icsm-icsme2024,10.1109/ICSME58944.2024.00031,1,SUCCESS,P,,,,,,
56,icsm-icsme2024,10.1109/ICSME58944.2024.00027,3,SUCCESS,P,,,,,,
57,icsm-icsme2024,10.1109/ICSME58944.2024.00024,3,SUCCESS,P,,,,,,
58,icsm-icsme2024,10.1109/ICSME58944.2024.00029,2,SUCCESS,P,,,,,,
59,icsm-icsme2024,10.1109/ICSME58944.2024.00047,15,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Single,1
60,icsm-icsme2024,10.1109/ICSME58944.2024.00060,3,SUCCESS,P,,,,,,
61,icsm-icsme2024,10.1109/ICSME58944.2024.00057,1,SUCCESS,P,,,,,,
62,icsm-icsme2024,10.1109/ICSME58944.2024.00060,7,SUCCESS,P,,,,,,
63,icsm-icsme2024,10.1109/ICSME58944.2024.00057,7,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
64,icsm-icsme2024,10.1109/ICSME58944.2024.00027,2,SUCCESS,P,,,,,,
65,icsm-icsme2024,10.1109/ICSME58944.2024.00048,1,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,2
66,icsm-icsme2024,10.1109/ICSME58944.2024.00016,3,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
67,icsm-icsme2024,10.1109/ICSME58944.2024.00060,4,SUCCESS,P,,,,,,
68,icsm-icsme2024,10.1109/ICSME58944.2024.00046,5,SUCCESS,T,,,,,,
69,icsm-icsme2024,10.1109/ICSME58944.2024.00039,3,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Single,1
70,icsm-icsme2024,10.1109/ICSME58944.2024.00016,1,SUCCESS,P,,,,,,
71,icsm-icsme2024,10.1109/ICSME58944.2024.00020,5,INVALID,D,Bar,Bar Chart,INVALID,2.0,Multipanel,3
72,icsm-icsme2024,10.1109/ICSME58944.2024.00047,2,SUCCESS,P,,,,,,
73,icsm-icsme2024,10.1109/ICSME58944.2024.00021,3,SUCCESS,P,,,,,,
74,icsm-icsme2024,10.1109/ICSME58944.2024.00047,7,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,4
75,icsm-icsme2024,10.1109/ICSME58944.2024.00015,6,SUCCESS,D,Distribution,Point Graph,Point Graph,2.0,Single,1
76,icsm-icsme2024,10.1109/ICSME58944.2024.00057,11,SUCCESS,P,,,,,,
77,icsm-icsme2024,10.1109/ICSME58944.2024.00041,10,SUCCESS,P,,,,,,
78,icsm-icsme2024,10.1109/ICSME58944.2024.00012,8,SUCCESS,P,,,,,,
79,icsm-icsme2024,10.1109/ICSME58944.2024.00057,6,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
80,icsm-icsme2024,10.1109/ICSME58944.2024.00024,2,SUCCESS,P,,,,,,
81,icsm-icsme2024,10.1109/ICSME58944.2024.00029,4,SUCCESS,P,,,,,,
82,icsm-icsme2024,10.1109/ICSME58944.2024.00047,4,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,5
83,icsm-icsme2024,10.1109/ICSME58944.2024.00045,2,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
84,icsm-icsme2024,10.1109/ICSME58944.2024.00052,2,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
85,icsm-icsme2024,10.1109/ICSME58944.2024.00052,4,SUCCESS,P,,,,,,
86,icsm-icsme2024,10.1109/ICSME58944.2024.00016,5,SUCCESS,D,Distribution,Histogram,Histogram,2.0,Single,1
87,icsm-icsme2024,10.1109/ICSME58944.2024.00047,9,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
88,icsm-icsme2024,10.1109/ICSME58944.2024.00039,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Single,1
89,icsm-icsme2024,10.1109/ICSME58944.2024.00013,1,SUCCESS,P,,,,,,
90,icsm-icsme2024,10.1109/ICSME58944.2024.00013,4,SUCCESS,P,,,,,,
91,icsm-icsme2024,10.1109/ICSME58944.2024.00015,2,SUCCESS,P,,,,,,
92,icsm-icsme2024,10.1109/ICSME58944.2024.00058,1,SUCCESS,P,,,,,,
93,icsm-icsme2024,10.1109/ICSME58944.2024.00026,4,SUCCESS,P,,,,,,
94,icsm-icsme2024,10.1109/ICSME58944.2024.00057,2,SUCCESS,P,,,,,,
95,icsm-icsme2024,10.1109/ICSME58944.2024.00033,1,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Combination,1
96,icsm-icsme2024,10.1109/ICSME58944.2024.00057,8,SUCCESS,P,,,,,,
97,icsm-icsme2024,10.1109/ICSME58944.2024.00035,2,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Single,1
98,icsm-icsme2024,10.1109/ICSME58944.2024.00012,7,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,2
99,icsm-icsme2024,10.1109/ICSME58944.2024.00046,8,SUCCESS,P,,,,,,
100,icsm-icsme2024,10.1109/ICSME58944.2024.00050,1,SUCCESS,P,,,,,,
101,icsm-icsme2024,10.1109/ICSME58944.2024.00049,5,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,3
102,icse-icse2024,10.1145/3597503.3639186,4,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
103,icse-icse2024,10.1145/3597503.3639193,5,SUCCESS,P,,,,,,
104,icse-icse2024,10.1145/3597503.3623303,1,SUCCESS,P,,,,,,
105,icse-icse2024,10.1145/3597503.3639160,2,SUCCESS,P,,,,,,
106,icse-icse2024,10.1145/3597503.3639126,5,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,7
107,icse-icse2024,10.1145/3597503.3623302,10,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
108,icse-icse2024,10.1145/3597503.3639186,9,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
109,icse-icse2024,10.1145/3597503.3639146,3,SUCCESS,P,,,,,,
110,icse-icse2024,10.1145/3597503.3623307,7,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
111,icse-icse2024,10.1145/3597503.3623348,4,SUCCESS,D,Point,Scatter Plot,Bubble Chart,2.0,Multipanel,4
112,icse-icse2024,10.1145/3597503.3623350,2,SUCCESS,P,,,,,,
113,icse-icse2024,10.1145/3597503.3639136,5,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Single,1
114,icse-icse2024,10.1145/3597503.3639106,9,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
115,icse-icse2024,10.1145/3597503.3639227,5,SUCCESS,D,Distribution,Histogram,Histogram,2.0,Combination,1
116,icse-icse2024,10.1145/3597503.3639227,5,SUCCESS,D,Distribution,Distribution Curve,Distribution Curve,2.0,Combination,1
117,icse-icse2024,10.1145/3597503.3639128,1,SUCCESS,P,,,,,,
118,icse-icse2024,10.1145/3597503.3623323,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
119,icse-icse2024,10.1145/3597503.3639105,3,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Multipanel,8
120,icse-icse2024,10.1145/3597503.3623326,4,SUCCESS,P,,,,,,
121,icse-icse2024,10.1145/3597503.3623315,1,SUCCESS,P,,,,,,
122,icse-icse2024,10.1145/3597503.3639138,2,SUCCESS,P,,,,,,
123,icse-icse2024,10.1145/3597503.3639145,5,SUCCESS,D,Circle,Donut Chart,Donut Chart,2.0,Single,1
124,icse-icse2024,10.1145/3597503.3639115,1,SUCCESS,P,,,,,,
125,icse-icse2024,10.1145/3597503.3640325,4,SUCCESS,P,,,,,,
126,icse-icse2024,10.1145/3597503.3623350,5,SUCCESS,P,,,,,,
127,icse-icse2024,10.1145/3597503.3639124,7,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
128,icse-icse2024,10.1145/3597503.3639116,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
129,icse-icse2024,10.1145/3597503.3639099,4,SUCCESS,P,,,,,,
130,icse-icse2024,10.1145/3597503.3639582,1,SUCCESS,T,,,,,,
131,icse-icse2024,10.1145/3597503.3639168,4,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Multipanel,2
132,icse-icse2024,10.1145/3597503.3639086,5,SUCCESS,P,,,,,,
133,icse-icse2024,10.1145/3597503.3639176,3,SUCCESS,P,,,,,,
134,seams-seams2024,10.1145/3643915.3644085,1,SUCCESS,P,,,,,,
135,seams-seams2024,10.1145/3643915.3644091,8,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
136,seams-seams2024,10.1145/3643915.3644099,1,SUCCESS,P,,,,,,
137,seams-seams2024,10.1145/3643915.3644099,6,SUCCESS,P,,,,,,
138,seams-seams2024,10.1145/3643915.3644083,3,SUCCESS,P,,,,,,
139,seams-seams2024,10.1145/3643915.3644084,4,SUCCESS,P,,,,,,
140,seams-seams2024,10.1145/3643915.3644090,3,SUCCESS,P,,,,,,
141,seams-seams2024,10.1145/3643915.3644091,7,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
142,seams-seams2024,10.1145/3643915.3644097,3,SUCCESS,D,Diagram,Illustration (or Rendering),Illustration (or Rendering),2.0,Multipanel,2
143,seams-seams2024,10.1145/3643915.3644091,2,SUCCESS,P,,,,,,
144,seams-seams2024,10.1145/3643915.3644092,2,SUCCESS,P,,,,,,
145,seams-seams2024,10.1145/3643915.3644087,3,SUCCESS,P,,,,,,
146,seams-seams2024,10.1145/3643915.3644091,1,SUCCESS,P,,,,,,
147,seams-seams2024,10.1145/3643915.3644098,1,SUCCESS,P,,,,,,
148,seams-seams2024,10.1145/3643915.3644099,7,SUCCESS,D,Circle,Pie Chart,Pie Chart,2.0,Multipanel,2
149,seams-seams2024,10.1145/3643915.3644085,6,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
150,seams-seams2024,10.1145/3643915.3644083,1,SUCCESS,P,,,,,,
151,seams-seams2024,10.1145/3643915.3644094,1,SUCCESS,P,,,,,,
152,seams-seams2024,10.1145/3643915.3644099,5,SUCCESS,P,,,,,,
153,icsm-icsme2024,10.1109/ICSME58944.2024.00050,7,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
154,icsm-icsme2024,10.1109/ICSME58944.2024.00026,6,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
155,icsm-icsme2024,10.1109/ICSME58944.2024.00018,5,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,2
156,icsm-icsme2024,10.1109/ICSME58944.2024.00036,1,SUCCESS,P,,,,,,
157,icsm-icsme2024,10.1109/ICSME58944.2024.00056,8,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,7
158,icsm-icsme2024,10.1109/ICSME58944.2024.00039,1,SUCCESS,P,,,,,,
159,icsm-icsme2024,10.1109/ICSME58944.2024.00013,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
160,icsm-icsme2024,10.1109/ICSME58944.2024.00034,5,SUCCESS,D,Grid / Matrix,Heat Map,Heat Map,2.0,Single,1
161,icsm-icsme2024,10.1109/ICSME58944.2024.00022,2,SUCCESS,P,,,,,,
162,icsm-icsme2024,10.1109/ICSME58944.2024.00052,1,SUCCESS,P,,,,,,
163,icsm-icsme2024,10.1109/ICSME58944.2024.00041,4,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Single,1
164,icsm-icsme2024,10.1109/ICSME58944.2024.00055,1,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Single,1
165,icsm-icsme2024,10.1109/ICSME58944.2024.00031,4,SUCCESS,P,,,,,,
166,icsm-icsme2024,10.1109/ICSME58944.2024.00022,3,SUCCESS,P,,,,,,
167,icsm-icsme2024,10.1109/ICSME58944.2024.00044,3,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
168,icsm-icsme2024,10.1109/ICSME58944.2024.00041,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Grouped,1
169,icsm-icsme2024,10.1109/ICSME58944.2024.00017,1,SUCCESS,P,,,,,,
170,icsm-icsme2024,10.1109/ICSME58944.2024.00038,1,SUCCESS,P,,,,,,
171,icsm-icsme2024,10.1109/ICSME58944.2024.00033,2,SUCCESS,P,,,,,,
172,icsm-icsme2024,10.1109/ICSME58944.2024.00035,3,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Single,1
173,icsm-icsme2024,10.1109/ICSME58944.2024.00056,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
174,icsm-icsme2024,10.1109/ICSME58944.2024.00057,13,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
175,icsm-icsme2024,10.1109/ICSME58944.2024.00041,3,SUCCESS,P,,,,,,
176,icsm-icsme2024,10.1109/ICSME58944.2024.00026,1,SUCCESS,P,,,,,,
177,icsm-icsme2024,10.1109/ICSME58944.2024.00025,6,SUCCESS,P,,,,,,
178,models-models2024,10.1145/3640310.3674099,5,FAILED,,,,,,,
179,models-models2024,10.1145/3640310.3674097,12,FAILED,,,,,,,
180,models-models2024,10.1145/3640310.3674091,3,FAILED,,,,,,,
181,models-models2024,10.1145/3640310.3674083,1,FAILED,,,,,,,
182,models-models2024,10.1145/3640310.3674103,4,FAILED,,,,,,,
183,models-models2024,10.1145/3640310.3674094,12,FAILED,,,,,,,
184,models-models2024,10.1145/3640310.3674082,8,FAILED,,,,,,,
185,models-models2024,10.1145/3640310.3674081,2,FAILED,,,,,,,
186,models-models2024,10.1145/3640310.3674090,3,FAILED,,,,,,,
187,models-models2024,10.1145/3640310.3674094,3,FAILED,,,,,,,
188,models-models2024,10.1145/3640310.3674085,4,FAILED,,,,,,,
189,models-models2024,10.1145/3640310.3674104,3,FAILED,,,,,,,
190,models-models2024,10.1145/3640310.3674082,4,FAILED,,,,,,,
191,models-models2024,10.1145/3640310.3674102,1,FAILED,,,,,,,
192,models-models2024,10.1145/3640310.3674089,2,FAILED,,,,,,,
193,models-models2024,10.1145/3640310.3674095,4,FAILED,,,,,,,
194,models-models2024,10.1145/3640310.3674087,5,FAILED,,,,,,,
195,models-models2024,10.1145/3640310.3674080,5,FAILED,,,,,,,
196,models-models2024,10.1145/3640310.3674090,1,FAILED,,,,,,,
197,models-models2024,10.1145/3640310.3674102,4,FAILED,,,,,,,
198,models-models2024,10.1145/3640310.3674095,3,FAILED,,,,,,,
199,models-models2024,10.1145/3640310.3674100,6,FAILED,,,,,,,
200,iwpc-icpc2024,10.1145/3643916.3644406,7,FAILED,,,,,,,
201,iwpc-icpc2024,10.1145/3643916.3644413,4,FAILED,,,,,,,
202,iwpc-icpc2024,10.1145/3643916.3644411,4,FAILED,,,,,,,
203,icse-icse2024,10.1145/3597503.3623326,7,SUCCESS,P,,,,,,
204,icse-icse2024,10.1145/3597503.3639123,5,SUCCESS,P,,,,,,
205,icse-icse2024,10.1145/3597503.3639161,1,SUCCESS,P,,,,,,
206,icse-icse2024,10.1145/3597503.3639583,5,SUCCESS,P,,,,,,
207,icse-icse2024,10.1145/3597503.3639230,3,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
208,icse-icse2024,10.1145/3597503.3639230,3,SUCCESS,D,Point,Scatter Plot,Trend Line,2.0,Single,1
209,icse-icse2024,10.1145/3597503.3608133,1,SUCCESS,P,,,,,,
210,icse-icse2024,10.1145/3597503.3623333,8,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Grouped,1
211,icse-icse2024,10.1145/3597503.3623311,4,SUCCESS,P,,,,,,
212,icse-icse2024,10.1145/3597503.3639088,2,SUCCESS,P,,,,,,
213,icse-icse2024,10.1145/3597503.3639218,1,SUCCESS,P,,,,,,
214,icse-icse2024,10.1145/3597503.3639193,7,SUCCESS,P,,,,,,
215,icse-icse2024,10.1145/3597503.3623347,1,SUCCESS,P,,,,,,
216,icse-icse2024,10.1145/3597503.3623315,4,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
217,icse-icse2024,10.1145/3597503.3639147,3,SUCCESS,P,,,,,,
218,icse-icse2024,10.1145/3597503.3639205,8,INVALID,D,Bar,Bar Chart,INVALID,2.0,Multipanel,2
219,icse-icse2024,10.1145/3597503.3639205,8,INVALID,D,Bar,Bar Chart,INVALID,2.0,Multipanel,2
220,icse-icse2024,10.1145/3597503.3639178,2,SUCCESS,P,,,,,,
221,icse-icse2024,10.1145/3597503.3640325,2,SUCCESS,P,,,,,,
222,icse-icse2024,10.1145/3597503.3639097,2,SUCCESS,P,,,,,,
223,icse-icse2024,10.1145/3597503.3639088,9,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,2
224,icse-icse2024,10.1145/3597503.3639088,9,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,2
225,icse-icse2024,10.1145/3597503.3639124,1,SUCCESS,P,,,,,,
226,icse-icse2024,10.1145/3597503.3639148,10,SUCCESS,P,,,,,,
227,icse-icse2024,10.1145/3597503.3608139,4,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Grouped,1
228,icse-icse2024,10.1145/3597503.3639218,2,SUCCESS,P,,,,,,
229,icse-icse2024,10.1145/3597503.3639178,4,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Single,1
230,icse-icse2024,10.1145/3597503.3608134,2,SUCCESS,P,,,,,,
231,issta-issta2024,10.1145/3650212.3680319,1,SUCCESS,P,,,,,,
232,issta-issta2024,10.1145/3650212.3652123,5,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,5
233,issta-issta2024,10.1145/3650212.3680377,4,SUCCESS,T,,,,,,
234,issta-issta2024,10.1145/3650212.3652118,8,SUCCESS,P,,,,,,
235,issta-issta2024,10.1145/3650212.3680363,7,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Multipanel,3
236,issta-issta2024,10.1145/3650212.3680331,4,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,2
237,issta-issta2024,10.1145/3650212.3680374,6,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Combination,1
238,issta-issta2024,10.1145/3650212.3680366,2,SUCCESS,D,Tree and Network (Graph),Tree and Network (Graph),Tree,2.0,Single,1
239,issta-issta2024,10.1145/3650212.3680400,1,SUCCESS,P,,,,,,
240,issta-issta2024,10.1145/3650212.3652120,12,SUCCESS,D,Diagram,Venn Diagram,Venn Diagram,2.0,Multipanel,2
241,issta-issta2024,10.1145/3650212.3680339,5,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
242,issta-issta2024,10.1145/3650212.3652116,12,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Multipanel,3
243,issta-issta2024,10.1145/3650212.3680400,9,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Single,1
244,issta-issta2024,10.1145/3650212.3680365,1,SUCCESS,D,Tree and Network (Graph),Tree and Network (Graph),Graph,2.0,Single,1
245,issta-issta2024,10.1145/3650212.3652131,3,SUCCESS,D,Tree and Network (Graph),Tree and Network (Graph),Graph,2.0,Single,1
246,issta-issta2024,10.1145/3650212.3680301,5,SUCCESS,P,,,,,,
247,issta-issta2024,10.1145/3650212.3680354,2,SUCCESS,P,,,,,,
248,issta-issta2024,10.1145/3650212.3680394,3,SUCCESS,P,,,,,,
249,issta-issta2024,10.1145/3650212.3652134,4,SUCCESS,P,,,,,,
250,issta-issta2024,10.1145/3650212.3680306,6,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Single,1
251,issta-issta2024,10.1145/3650212.3680326,1,SUCCESS,P,,,,,,
252,issta-issta2024,10.1145/3650212.3680317,4,SUCCESS,P,,,,,,
253,issta-issta2024,10.1145/3650212.3680302,7,SUCCESS,P,,,,,,
254,issta-issta2024,10.1145/3650212.3680348,1,SUCCESS,D,Tree and Network (Graph),Tree and Network (Graph),Graph,2.0,Single,1
255,issta-issta2024,10.1145/3650212.3680343,4,SUCCESS,T,,,,,,
256,icse-icse2024,10.1145/3597503.3623314,2,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Multipanel,4
257,icse-icse2024,10.1145/3597503.3639153,6,SUCCESS,P,,,,,,
258,icse-icse2024,10.1145/3597503.3639115,5,SUCCESS,P,,,,,,
259,icse-icse2024,10.1145/3597503.3639204,1,SUCCESS,P,,,,,,
260,icse-icse2024,10.1145/3597503.3639580,4,SUCCESS,P,,,,,,
261,icse-icse2024,10.1145/3597503.3639204,9,SUCCESS,P,,,,,,
262,icse-icse2024,10.1145/3597503.3608142,5,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
263,icse-icse2024,10.1145/3597503.3639155,6,SUCCESS,P,,,,,,
264,icse-icse2024,10.1145/3597503.3639128,3,SUCCESS,P,,,,,,
265,icse-icse2024,10.1145/3597503.3623300,6,SUCCESS,P,,,,,,
266,icse-icse2024,10.1145/3597503.3639230,4,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Grouped,1
