,conf,doi,fig_num,status,type,category,subcategory,subsubcategory,dimensionality,multiplicity,n_panels
53,icsm-icsme2024,10.1109/ICSME58944.2024.00034,4,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,4
54,icsm-icsme2024,10.1109/ICSME58944.2024.00025,3,SUCCESS,D,Diagram,Venn Diagram,Venn Diagram,2,Single,1
55,icsm-icsme2024,10.1109/ICSME58944.2024.00031,1,SUCCESS,P,,,,,,
56,icsm-icsme2024,10.1109/ICSME58944.2024.00027,3,SUCCESS,P,,,,,,
57,icsm-icsme2024,10.1109/ICSME58944.2024.00024,3,SUCCESS,P,,,,,,
58,icsm-icsme2024,10.1109/ICSME58944.2024.00029,2,SUCCESS,P,,,,,,
59,icsm-icsme2024,10.1109/ICSME58944.2024.00047,15,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Single,1
60,icsm-icsme2024,10.1109/ICSME58944.2024.00060,3,SUCCESS,P,,,,,,
61,icsm-icsme2024,10.1109/ICSME58944.2024.00057,1,SUCCESS,P,,,,,,
62,icsm-icsme2024,10.1109/ICSME58944.2024.00060,7,SUCCESS,P,,,,,,
63,icsm-icsme2024,10.1109/ICSME58944.2024.00057,7,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
64,icsm-icsme2024,10.1109/ICSME58944.2024.00027,2,SUCCESS,P,,,,,,
65,icsm-icsme2024,10.1109/ICSME58944.2024.00048,1,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Multipanel,2
66,icsm-icsme2024,10.1109/ICSME58944.2024.00016,3,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
67,icsm-icsme2024,10.1109/ICSME58944.2024.00060,4,SUCCESS,P,,,,,,
68,icsm-icsme2024,10.1109/ICSME58944.2024.00046,5,SUCCESS,T,,,,,,
69,icsm-icsme2024,10.1109/ICSME58944.2024.00039,3,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2,Single,1
70,icsm-icsme2024,10.1109/ICSME58944.2024.00016,1,SUCCESS,P,,,,,,
71,icsm-icsme2024,10.1109/ICSME58944.2024.00020,5,INVALID,D,Bar,Bar Chart,INVALID,2,Multipanel,3
72,icsm-icsme2024,10.1109/ICSME58944.2024.00047,2,SUCCESS,P,,,,,,
73,icsm-icsme2024,10.1109/ICSME58944.2024.00021,3,SUCCESS,P,,,,,,
74,icsm-icsme2024,10.1109/ICSME58944.2024.00047,7,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,4
75,icsm-icsme2024,10.1109/ICSME58944.2024.00015,6,SUCCESS,D,Distribution,Point Graph,Point Graph,2,Single,1
76,icsm-icsme2024,10.1109/ICSME58944.2024.00057,11,SUCCESS,P,,,,,,
77,icsm-icsme2024,10.1109/ICSME58944.2024.00041,10,SUCCESS,P,,,,,,
78,icsm-icsme2024,10.1109/ICSME58944.2024.00012,8,SUCCESS,P,,,,,,
79,icsm-icsme2024,10.1109/ICSME58944.2024.00057,6,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
80,icsm-icsme2024,10.1109/ICSME58944.2024.00024,2,SUCCESS,P,,,,,,
81,icsm-icsme2024,10.1109/ICSME58944.2024.00029,4,SUCCESS,P,,,,,,
82,icsm-icsme2024,10.1109/ICSME58944.2024.00047,4,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,5
83,icsm-icsme2024,10.1109/ICSME58944.2024.00045,2,SUCCESS,D,Bar,Bar Chart,Bar Chart,2,Single,1
84,icsm-icsme2024,10.1109/ICSME58944.2024.00052,2,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,2
85,icsm-icsme2024,10.1109/ICSME58944.2024.00052,4,SUCCESS,P,,,,,,
86,icsm-icsme2024,10.1109/ICSME58944.2024.00016,5,SUCCESS,D,Distribution,Histogram,Histogram,2,Single,1
87,icsm-icsme2024,10.1109/ICSME58944.2024.00047,9,SUCCESS,D,Bar,Bar Chart,Bar Chart,2,Single,1
88,icsm-icsme2024,10.1109/ICSME58944.2024.00039,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Single,1
89,icsm-icsme2024,10.1109/ICSME58944.2024.00013,1,SUCCESS,P,,,,,,
90,icsm-icsme2024,10.1109/ICSME58944.2024.00013,4,SUCCESS,P,,,,,,
91,icsm-icsme2024,10.1109/ICSME58944.2024.00015,2,SUCCESS,P,,,,,,
92,icsm-icsme2024,10.1109/ICSME58944.2024.00058,1,SUCCESS,P,,,,,,
93,icsm-icsme2024,10.1109/ICSME58944.2024.00026,4,SUCCESS,P,,,,,,
94,icsm-icsme2024,10.1109/ICSME58944.2024.00057,2,SUCCESS,P,,,,,,
95,icsm-icsme2024,10.1109/ICSME58944.2024.00033,1,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Combination,1
96,icsm-icsme2024,10.1109/ICSME58944.2024.00057,8,SUCCESS,P,,,,,,
97,icsm-icsme2024,10.1109/ICSME58944.2024.00035,2,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2,Single,1
98,icsm-icsme2024,10.1109/ICSME58944.2024.00012,7,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Multipanel,2
99,icsm-icsme2024,10.1109/ICSME58944.2024.00046,8,SUCCESS,P,,,,,,
100,icsm-icsme2024,10.1109/ICSME58944.2024.00050,1,SUCCESS,P,,,,,,
101,icsm-icsme2024,10.1109/ICSME58944.2024.00049,5,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Multipanel,3
102,wcre-saner2024,10.1109/SANER60148.2024.00096,3,FAILED,,,,,,,
103,wcre-saner2024,10.1109/SANER60148.2024.00024,4,FAILED,,,,,,,
104,wcre-saner2024,10.1109/SANER60148.2024.00019,2,FAILED,,,,,,,
105,wcre-saner2024,10.1109/SANER60148.2024.00055,1,FAILED,,,,,,,
106,wcre-saner2024,10.1109/SANER60148.2024.00025,2,FAILED,,,,,,,
107,wcre-saner2024,10.1109/SANER60148.2024.00099,1,FAILED,,,,,,,
108,wcre-saner2024,10.1109/SANER60148.2024.00096,7,FAILED,,,,,,,
109,wcre-saner2024,10.1109/SANER60148.2024.00106,9,FAILED,,,,,,,
110,wcre-saner2024,10.1109/SANER60148.2024.00107,7,FAILED,,,,,,,
111,wcre-saner2024,10.1109/SANER60148.2024.00035,2,FAILED,,,,,,,
112,wcre-saner2024,10.1109/SANER60148.2024.00017,2,FAILED,,,,,,,
113,wcre-saner2024,10.1109/SANER60148.2024.00101,3,FAILED,,,,,,,
114,wcre-saner2024,10.1109/SANER60148.2024.00106,3,FAILED,,,,,,,
115,wcre-saner2024,10.1109/SANER60148.2024.00009,3,FAILED,,,,,,,
116,wcre-saner2024,10.1109/SANER60148.2024.00037,4,FAILED,,,,,,,
117,wcre-saner2024,10.1109/SANER60148.2024.00037,1,FAILED,,,,,,,
118,wcre-saner2024,10.1109/SANER60148.2024.00075,6,FAILED,,,,,,,
119,wcre-saner2024,10.1109/SANER60148.2024.00030,5,FAILED,,,,,,,
120,wcre-saner2024,10.1109/SANER60148.2024.00038,1,FAILED,,,,,,,
121,wcre-saner2024,10.1109/SANER60148.2024.00055,2,FAILED,,,,,,,
122,wcre-saner2024,10.1109/SANER60148.2024.00070,5,FAILED,,,,,,,
123,wcre-saner2024,10.1109/SANER60148.2024.00035,1,FAILED,,,,,,,
124,wcre-saner2024,10.1109/SANER60148.2024.00026,2,FAILED,,,,,,,
125,wcre-saner2024,10.1109/SANER60148.2024.00058,3,FAILED,,,,,,,
126,wcre-saner2024,10.1109/SANER60148.2024.00082,3,FAILED,,,,,,,
127,icse-icse2024,10.1145/3597503.3639186,4,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
128,icse-icse2024,10.1145/3597503.3639193,5,SUCCESS,P,,,,,,
129,icse-icse2024,10.1145/3597503.3623303,1,SUCCESS,P,,,,,,
130,icse-icse2024,10.1145/3597503.3639160,2,SUCCESS,P,,,,,,
131,icse-icse2024,10.1145/3597503.3639126,5,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Multipanel,7
132,icse-icse2024,10.1145/3597503.3623302,10,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Single,1
133,icse-icse2024,10.1145/3597503.3639186,9,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
134,icse-icse2024,10.1145/3597503.3639146,3,SUCCESS,P,,,,,,
135,icse-icse2024,10.1145/3597503.3623307,7,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Single,1
136,icse-icse2024,10.1145/3597503.3623348,4,SUCCESS,D,Point,Scatter Plot,Bubble Chart,2,Multipanel,4
137,icse-icse2024,10.1145/3597503.3623350,2,SUCCESS,P,,,,,,
138,icse-icse2024,10.1145/3597503.3639136,5,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2,Single,1
139,icse-icse2024,10.1145/3597503.3639106,9,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,2
140,icse-icse2024,10.1145/3597503.3639227,5,SUCCESS,D,Distribution,Histogram,Histogram,2,Combination,1
141,icse-icse2024,10.1145/3597503.3639227,5,SUCCESS,D,Distribution,Distribution Curve,Distribution Curve,2,Combination,1
142,icse-icse2024,10.1145/3597503.3639128,1,SUCCESS,P,,,,,,
143,icse-icse2024,10.1145/3597503.3623323,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2,Single,1
144,icse-icse2024,10.1145/3597503.3639105,3,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2,Multipanel,8
145,icse-icse2024,10.1145/3597503.3623326,4,SUCCESS,P,,,,,,
146,icse-icse2024,10.1145/3597503.3623315,1,SUCCESS,P,,,,,,
147,icse-icse2024,10.1145/3597503.3639138,2,SUCCESS,P,,,,,,
148,icse-icse2024,10.1145/3597503.3639145,5,SUCCESS,D,Circle,Donut Chart,Donut Chart,2,Single,1
149,icse-icse2024,10.1145/3597503.3639115,1,SUCCESS,P,,,,,,
150,icse-icse2024,10.1145/3597503.3640325,4,SUCCESS,P,,,,,,
151,icse-icse2024,10.1145/3597503.3623350,5,SUCCESS,P,,,,,,
152,icse-icse2024,10.1145/3597503.3639124,7,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Single,1
153,icse-icse2024,10.1145/3597503.3639116,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2,Single,1
154,icse-icse2024,10.1145/3597503.3639099,4,SUCCESS,P,,,,,,
155,icse-icse2024,10.1145/3597503.3639582,1,SUCCESS,T,,,,,,
156,icse-icse2024,10.1145/3597503.3639168,4,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2,Multipanel,2
157,icse-icse2024,10.1145/3597503.3639086,5,SUCCESS,P,,,,,,
158,icse-icse2024,10.1145/3597503.3639176,3,SUCCESS,P,,,,,,
159,seams-seams2024,10.1145/3643915.3644085,1,SUCCESS,P,,,,,,
160,seams-seams2024,10.1145/3643915.3644091,8,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
161,seams-seams2024,10.1145/3643915.3644099,1,SUCCESS,P,,,,,,
162,seams-seams2024,10.1145/3643915.3644099,6,SUCCESS,P,,,,,,
163,seams-seams2024,10.1145/3643915.3644083,3,SUCCESS,P,,,,,,
164,seams-seams2024,10.1145/3643915.3644084,4,SUCCESS,P,,,,,,
165,seams-seams2024,10.1145/3643915.3644090,3,SUCCESS,P,,,,,,
166,seams-seams2024,10.1145/3643915.3644091,7,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
167,seams-seams2024,10.1145/3643915.3644097,3,SUCCESS,D,Diagram,Illustration (or Rendering),Illustration (or Rendering),2,Multipanel,2
168,seams-seams2024,10.1145/3643915.3644091,2,SUCCESS,P,,,,,,
169,seams-seams2024,10.1145/3643915.3644092,2,SUCCESS,P,,,,,,
170,seams-seams2024,10.1145/3643915.3644087,3,SUCCESS,P,,,,,,
171,seams-seams2024,10.1145/3643915.3644091,1,SUCCESS,P,,,,,,
172,seams-seams2024,10.1145/3643915.3644098,1,SUCCESS,P,,,,,,
173,seams-seams2024,10.1145/3643915.3644099,7,SUCCESS,D,Circle,Pie Chart,Pie Chart,2,Multipanel,2
174,seams-seams2024,10.1145/3643915.3644085,6,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,2
175,seams-seams2024,10.1145/3643915.3644083,1,SUCCESS,P,,,,,,
176,seams-seams2024,10.1145/3643915.3644094,1,SUCCESS,P,,,,,,
177,seams-seams2024,10.1145/3643915.3644099,5,SUCCESS,P,,,,,,
178,issre-issre2024,10.1109/ISSRE62328.2024.00017,7,FAILED,,,,,,,
179,issre-issre2024,10.1109/ISSRE62328.2024.00015,4,FAILED,,,,,,,
180,issre-issre2024,10.1109/ISSRE62328.2024.00026,1,FAILED,,,,,,,
181,issre-issre2024,10.1109/ISSRE62328.2024.00025,1,FAILED,,,,,,,
182,issre-issre2024,10.1109/ISSRE62328.2024.00012,2,FAILED,,,,,,,
183,issre-issre2024,10.1109/ISSRE62328.2024.00017,4,FAILED,,,,,,,
184,issre-issre2024,10.1109/ISSRE62328.2024.00021,8,FAILED,,,,,,,
185,issre-issre2024,10.1109/ISSRE62328.2024.00021,9,FAILED,,,,,,,
186,issre-issre2024,10.1109/ISSRE62328.2024.00021,4,FAILED,,,,,,,
187,issre-issre2024,10.1109/ISSRE62328.2024.00021,3,FAILED,,,,,,,
188,issre-issre2024,10.1109/ISSRE62328.2024.00030,3,FAILED,,,,,,,
189,issre-issre2024,10.1109/ISSRE62328.2024.00016,6,FAILED,,,,,,,
190,issre-issre2024,10.1109/ISSRE62328.2024.00016,9,FAILED,,,,,,,
191,issre-issre2024,10.1109/ISSRE62328.2024.00017,5,FAILED,,,,,,,
192,issre-issre2024,10.1109/ISSRE62328.2024.00030,4,FAILED,,,,,,,
193,issre-issre2024,10.1109/ISSRE62328.2024.00014,8,FAILED,,,,,,,
194,issre-issre2024,10.1109/ISSRE62328.2024.00013,4,FAILED,,,,,,,
195,issre-issre2024,10.1109/ISSRE62328.2024.00015,1,FAILED,,,,,,,
196,issre-issre2024,10.1109/ISSRE62328.2024.00023,2,FAILED,,,,,,,
197,issre-issre2024,10.1109/ISSRE62328.2024.00025,8,FAILED,,,,,,,
198,issre-issre2024,10.1109/ISSRE62328.2024.00026,4,FAILED,,,,,,,
199,issre-issre2024,10.1109/ISSRE62328.2024.00025,7,FAILED,,,,,,,
200,issre-issre2024,10.1109/ISSRE62328.2024.00024,2,FAILED,,,,,,,
201,issre-issre2024,10.1109/ISSRE62328.2024.00019,7,FAILED,,,,,,,
202,issre-issre2024,10.1109/ISSRE62328.2024.00029,4,FAILED,,,,,,,
203,icsm-icsme2024,10.1109/ICSME58944.2024.00050,7,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,2
204,icsm-icsme2024,10.1109/ICSME58944.2024.00026,6,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
205,icsm-icsme2024,10.1109/ICSME58944.2024.00018,5,SUCCESS,D,Line,Line Graph,Line Graph,2,Multipanel,2
206,icsm-icsme2024,10.1109/ICSME58944.2024.00036,1,SUCCESS,P,,,,,,
207,icsm-icsme2024,10.1109/ICSME58944.2024.00056,8,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,7
208,icsm-icsme2024,10.1109/ICSME58944.2024.00039,1,SUCCESS,P,,,,,,
209,icsm-icsme2024,10.1109/ICSME58944.2024.00013,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2,Single,1
210,icsm-icsme2024,10.1109/ICSME58944.2024.00034,5,SUCCESS,D,Grid / Matrix,Heat Map,Heat Map,2,Single,1
211,icsm-icsme2024,10.1109/ICSME58944.2024.00022,2,SUCCESS,P,,,,,,
212,icsm-icsme2024,10.1109/ICSME58944.2024.00052,1,SUCCESS,P,,,,,,
213,icsm-icsme2024,10.1109/ICSME58944.2024.00041,4,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2,Single,1
214,icsm-icsme2024,10.1109/ICSME58944.2024.00055,1,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2,Single,1
215,icsm-icsme2024,10.1109/ICSME58944.2024.00031,4,SUCCESS,P,,,,,,
216,icsm-icsme2024,10.1109/ICSME58944.2024.00022,3,SUCCESS,P,,,,,,
217,icsm-icsme2024,10.1109/ICSME58944.2024.00044,3,SUCCESS,D,Line,Line Graph,Line Graph,2,Single,1
218,icsm-icsme2024,10.1109/ICSME58944.2024.00041,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Grouped,1
219,icsm-icsme2024,10.1109/ICSME58944.2024.00017,1,SUCCESS,P,,,,,,
220,icsm-icsme2024,10.1109/ICSME58944.2024.00038,1,SUCCESS,P,,,,,,
221,icsm-icsme2024,10.1109/ICSME58944.2024.00033,2,SUCCESS,P,,,,,,
222,icsm-icsme2024,10.1109/ICSME58944.2024.00035,3,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2,Single,1
223,icsm-icsme2024,10.1109/ICSME58944.2024.00056,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Multipanel,2
224,icsm-icsme2024,10.1109/ICSME58944.2024.00057,13,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Single,1
225,icsm-icsme2024,10.1109/ICSME58944.2024.00041,3,SUCCESS,P,,,,,,
226,icsm-icsme2024,10.1109/ICSME58944.2024.00026,1,SUCCESS,P,,,,,,
227,icsm-icsme2024,10.1109/ICSME58944.2024.00025,6,SUCCESS,P,,,,,,
228,models-models2024,10.1145/3640310.3674099,5,FAILED,,,,,,,
229,models-models2024,10.1145/3640310.3674097,12,FAILED,,,,,,,
230,models-models2024,10.1145/3640310.3674091,3,FAILED,,,,,,,
231,models-models2024,10.1145/3640310.3674083,1,FAILED,,,,,,,
232,models-models2024,10.1145/3640310.3674103,4,FAILED,,,,,,,
233,models-models2024,10.1145/3640310.3674094,12,FAILED,,,,,,,
234,models-models2024,10.1145/3640310.3674082,8,FAILED,,,,,,,
235,models-models2024,10.1145/3640310.3674081,2,FAILED,,,,,,,
236,models-models2024,10.1145/3640310.3674090,3,FAILED,,,,,,,
237,models-models2024,10.1145/3640310.3674094,3,FAILED,,,,,,,
238,models-models2024,10.1145/3640310.3674085,4,FAILED,,,,,,,
239,models-models2024,10.1145/3640310.3674104,3,FAILED,,,,,,,
240,models-models2024,10.1145/3640310.3674082,4,FAILED,,,,,,,
241,models-models2024,10.1145/3640310.3674102,1,FAILED,,,,,,,
242,models-models2024,10.1145/3640310.3674089,2,FAILED,,,,,,,
243,models-models2024,10.1145/3640310.3674095,4,FAILED,,,,,,,
244,models-models2024,10.1145/3640310.3674087,5,FAILED,,,,,,,
245,models-models2024,10.1145/3640310.3674080,5,FAILED,,,,,,,
246,models-models2024,10.1145/3640310.3674090,1,FAILED,,,,,,,
247,models-models2024,10.1145/3640310.3674102,4,FAILED,,,,,,,
248,models-models2024,10.1145/3640310.3674095,3,FAILED,,,,,,,
249,models-models2024,10.1145/3640310.3674100,6,FAILED,,,,,,,
250,iwpc-icpc2024,10.1145/3643916.3644406,7,FAILED,,,,,,,
251,iwpc-icpc2024,10.1145/3643916.3644413,4,FAILED,,,,,,,
252,iwpc-icpc2024,10.1145/3643916.3644411,4,FAILED,,,,,,,
253,icse-icse2024,10.1145/3597503.3623326,7,SUCCESS,P,,,,,,
254,icse-icse2024,10.1145/3597503.3639123,5,SUCCESS,P,,,,,,
255,icse-icse2024,10.1145/3597503.3639161,1,SUCCESS,P,,,,,,
256,icse-icse2024,10.1145/3597503.3639583,5,SUCCESS,P,,,,,,
257,icse-icse2024,10.1145/3597503.3639230,3,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Single,1
258,icse-icse2024,10.1145/3597503.3639230,3,SUCCESS,D,Point,Scatter Plot,Trend Line,2,Single,1
259,icse-icse2024,10.1145/3597503.3608133,1,SUCCESS,P,,,,,,
260,icse-icse2024,10.1145/3597503.3623333,8,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Grouped,1
261,icse-icse2024,10.1145/3597503.3623311,4,SUCCESS,P,,,,,,
262,icse-icse2024,10.1145/3597503.3639088,2,SUCCESS,P,,,,,,
263,icse-icse2024,10.1145/3597503.3639218,1,SUCCESS,P,,,,,,
264,icse-icse2024,10.1145/3597503.3639193,7,SUCCESS,P,,,,,,
265,icse-icse2024,10.1145/3597503.3623347,1,SUCCESS,P,,,,,,
266,icse-icse2024,10.1145/3597503.3623315,4,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2,Single,1
267,icse-icse2024,10.1145/3597503.3639147,3,SUCCESS,P,,,,,,
268,icse-icse2024,10.1145/3597503.3639205,8,INVALID,D,Bar,Bar Chart,INVALID,2,Multipanel,2
269,icse-icse2024,10.1145/3597503.3639205,8,INVALID,D,Bar,Bar Chart,INVALID,2,Multipanel,2
270,icse-icse2024,10.1145/3597503.3639178,2,SUCCESS,P,,,,,,
271,icse-icse2024,10.1145/3597503.3640325,2,SUCCESS,P,,,,,,
272,icse-icse2024,10.1145/3597503.3639097,2,SUCCESS,P,,,,,,
273,icse-icse2024,10.1145/3597503.3639088,9,SUCCESS,D,Line,Line Graph,Line Graph,2,Multipanel,2
274,icse-icse2024,10.1145/3597503.3639088,9,SUCCESS,D,Line,Line Graph,Line Graph,2,Multipanel,2
275,icse-icse2024,10.1145/3597503.3639124,1,SUCCESS,P,,,,,,
276,icse-icse2024,10.1145/3597503.3639148,10,SUCCESS,P,,,,,,
277,icse-icse2024,10.1145/3597503.3608139,4,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2,Grouped,1
278,icse-icse2024,10.1145/3597503.3639218,2,SUCCESS,P,,,,,,
